County,Pop.2019,Pop.2021,Pop%Change,Income.2019,Income.2021,Income%Change,TCS.2019,TCS.2021,TCS%Change,Exp.2019,Exp.2021,Exp%Change,PCE.2019,PCE.2021,PCE%Change,,,,
Anderson,76978,77576,0.7768,44090,50901,15.4479,100476,144121,43.4382,74351430,88446406,18.9572,739.99,613.70,-17.0673,,,,
Bedford,49713,51119,2.8282,39243,46083,17.4299,89336,107540,20.3770,61788071,72032376,16.5797,691.64,669.82,-3.1545,,,,
Benton,16160,15872,-1.7822,35071,40963,16.8002,20222,28004,38.4828,15528195,19095027,22.9700,767.89,681.87,-11.2020,,,,
Bledsoe,15064,15234,1.1285,28598,33675,17.7530,19287,23116,19.8528,15463753,18543755,19.9176,801.77,802.20,0.0541,,,,
Blount,133088,137605,3.3940,45860,52596,14.6882,145434,185744,27.7170,96118410,115250544,19.9048,660.91,620.48,-6.1169,,,,
Bradley,108110,110162,1.8981,40228,46409,15.3649,139987,182583,30.4285,97075943,118916809,22.4987,693.46,651.30,-6.0798,,,,
Campbell,39842,39578,-0.6626,35824,42471,18.5546,58288,71975,23.4817,40853951,48116766,17.7775,700.90,668.52,-4.6194,,,,
Cannon,14678,14553,-0.8516,37663,44419,17.9380,19654,24492,24.6159,13773262,16961810,23.1503,700.79,692.54,-1.1761,,,,
Carroll,27767,28432,2.3949,36312,40502,11.5389,41509,46931,13.0622,34438937,41405367,20.2284,829.67,882.26,6.3382,,,,
Carter,56391,56134,-0.4557,35153,40739,15.8905,74224,88469,19.1919,55251120,67333213,21.8676,744.38,761.09,2.2449,,,,
Cheatham,40667,41523,2.1049,47099,54069,14.7986,55497,71692,29.1818,39461409,43247003,9.5932,711.05,603.23,-15.1636,,,,
Chester,17297,17504,1.1967,35315,41568,17.7064,28429,36386,27.9890,20634907,24153391,17.0511,725.84,663.81,-8.5460,,,,
Claiborne,31959,32267,0.9637,36464,42542,16.6685,43095,53090,23.1929,32102110,38149181,18.8370,744.91,718.58,-3.5359,,,,
Clay,7615,7555,-0.7879,32550,40338,23.9263,13483,13844,2.6774,8795164,10949011,24.4890,652.32,790.88,21.2428,,,,
Cocke,36004,36418,1.1499,33984,40384,18.8324,50976,78164,53.3349,37336710,50420928,35.0438,732.44,645.07,-11.9288,,,,
Coffee,56520,59032,4.4444,41181,46299,12.4281,90448,120845,33.6072,58549444,73227234,25.0691,647.33,605.96,-6.3905,,,,
Crockett,14230,13979,-1.7639,42303,49729,17.5543,29181,33735,15.6060,23725607,26851641,13.1758,813.05,795.96,-2.1022,,,,
Cumberland,60520,62451,3.1907,39092,44295,13.3096,76010,96188,26.5465,44568600,54602136,22.5126,586.35,567.66,-3.1877,,,,
Davidson,694144,703953,1.4131,71100,82087,15.4529,897476,895834,-0.1830,434880942,544814579,25.2790,484.56,608.16,25.5086,,,,
Decatur,11663,11391,-2.3322,43581,48912,12.2324,17009,22169,30.3369,11747471,13790113,17.3879,690.66,622.04,-9.9350,,,,
DeKalb,20490,20478,-0.0586,41954,47634,13.5386,29825,39276,31.6882,21278962,24967292,17.3332,713.46,635.69,-10.9007,,,,
Dickson,53948,55292,2.4913,43611,50218,15.1498,86951,109333,25.7409,50984861,55628256,9.1074,586.36,508.80,-13.2284,,,,
Dyer,37159,36615,-1.4640,42418,51559,21.5498,65637,86656,32.0231,44143159,52752954,19.5043,672.53,608.76,-9.4823,,,,
Fayette,41133,42832,4.1305,58804,68153,15.8986,42807,50362,17.6490,22862489,27276362,19.3062,534.08,541.61,1.4086,,,,
Fentress,18523,18850,1.7654,35093,40402,15.1284,21796,26627,22.1646,16414374,20231614,23.2555,753.09,759.82,0.8929,,,,
Franklin,42208,43215,2.3858,40494,45975,13.5353,55780,61797,10.7870,33202372,40298813,21.3733,595.24,652.12,9.5555,,,,
Gibson,49133,50541,2.8657,39164,46449,18.6013,85537,113892,33.1494,64729055,77175769,19.2289,756.74,677.62,-10.4548,,,,
Giles,29464,30542,3.6587,38464,43321,12.6274,41489,47662,14.8786,24620029,28037685,13.8816,593.41,588.26,-0.8679,,,,
Grainger,23320,23763,1.8997,35331,41569,17.6559,35692,44780,25.4623,26829516,31098164,15.9103,751.70,694.47,-7.6135,,,,
Greene,69069,70621,2.2470,37107,41796,12.6364,93154,122523,31.5274,61108159,73373999,20.0723,655.99,598.86,-8.7092,,,,
Grundy,13427,13622,1.4523,33628,39349,17.0126,20258,25608,26.4093,17201681,18999509,10.4515,849.13,741.94,-12.6240,,,,
Hamblen,64934,64468,-0.7177,38554,45234,17.3263,87602,112321,28.2174,68095345,83500257,22.6226,777.33,743.41,-4.3635,,,,
Hamilton,367804,369135,0.3619,54475,60089,10.3056,393429,500136,27.1223,221131387,277585195,25.5295,562.06,555.02,-1.2529,,,,
Hancock,6620,6787,2.5227,28021,34135,21.8193,11089,16476,48.5797,9411883,12140723,28.9936,848.76,736.87,-13.1822,,,,
