County,Pop.2019,Pop.2021,Pop% Change,Income.2019,Income.2021,Income% Change,TCS.2019,TCS.2021,TCS% Change,Exp.2019,Exp.2021,Exp% Change,PCE.2019,PCE.2021,PCE% Change
Anderson,76978,77576,0.7768,44090,50901,15.4479,3801,1262,-66.7982,461787,460783,-0.2174,121.49,365.12,200.5338
Bedford,49713,51119,2.8282,39243,46083,17.4299,3214,1585,-50.6845,411036,534509,30.0395,127.89,337.23,163.6889
Benton,16160,15872,-1.7822,35071,40963,16.8002,1738,630,-63.7514,229530,187246,-18.4220,132.07,297.22,125.0517
Bledsoe,15064,15234,1.1285,28598,33675,17.7530,961,422,-56.0874,140745,156482,11.1812,146.46,370.81,153.1876
Blount,133088,137605,3.3940,45860,52596,14.6882,6300,1988,-68.4444,1136861,523924,-53.9149,180.45,263.54,46.0445
Bradley,108110,110162,1.8981,40228,46409,15.3649,6790,3387,-50.1178,1078239,867641,-19.5317,158.80,256.17,61.3168
Campbell,39842,39578,-0.6626,35824,42471,18.5546,3588,990,-72.4080,674244,415602,-38.3603,187.92,419.80,123.3972
Cannon,14678,14553,-0.8516,37663,44419,17.9380,1284,594,-53.7383,216461,148706,-31.3013,168.58,250.35,48.5003
Carroll,27767,28432,2.3949,36312,40502,11.5389,2292,1017,-55.6283,354592,201686,-43.1217,154.71,198.31,28.1860
Carter,56391,56134,-0.4557,35153,40739,15.8905,4011,1972,-50.8352,698943,519820,-25.6277,174.26,263.60,51.2715
Cheatham,40667,41523,2.1049,47099,54069,14.7986,1759,458,-73.9625,207615,204393,-1.5519,118.03,446.27,278.1008
Chester,17297,17504,1.1967,35315,41568,17.7064,1660,654,-60.6024,234747,136582,-41.8174,141.41,208.84,47.6807
Claiborne,31959,32267,0.9637,36464,42542,16.6685,2348,844,-64.0545,295110,199375,-32.4404,125.69,236.23,87.9500
Clay,7615,7555,-0.7879,32550,40338,23.9263,1146,687,-40.0524,136640,488782,257.7152,119.23,711.47,496.7126
Cocke,36004,36418,1.1499,33984,40384,18.8324,2212,403,-81.7812,381243,128535,-66.2853,172.35,318.95,85.0545
Coffee,56520,59032,4.4444,41181,46299,12.4281,4624,2076,-55.1038,541729,653886,20.7035,117.16,314.97,168.8502
Crockett,14230,13979,-1.7639,42303,49729,17.5543,1816,508,-72.0264,243066,130449,-46.3319,133.85,256.79,91.8530
Cumberland,60520,62451,3.1907,39092,44295,13.3096,4859,2695,-44.5359,699247,1991140,184.7549,143.91,738.83,413.4041
Davidson,694144,703953,1.4131,71100,82087,15.4529,17773,6796,-61.7622,2148644,2501305,16.4132,120.89,368.06,204.4455
Decatur,11663,11391,-2.3322,43581,48912,12.2324,1142,460,-59.7198,149196,93889,-37.0700,130.64,204.11,56.2305
DeKalb,20490,20478,-0.0586,41954,47634,13.5386,1862,1128,-39.4200,237158,365764,54.2280,127.37,324.26,154.5856
Dickson,53948,55292,2.4913,43611,50218,15.1498,4167,1450,-65.2028,600276,418700,-30.2488,144.05,288.76,100.4507
Dyer,37159,36615,-1.4640,42418,51559,21.5498,3921,1638,-58.2249,540773,352288,-34.8547,137.92,215.07,55.9430
Fayette,41133,42832,4.1305,58804,68153,15.8986,2573,580,-77.4582,562540,139437,-75.2130,218.63,240.41,9.9604
Fentress,18523,18850,1.7654,35093,40402,15.1284,1760,916,-47.9545,236325,380654,61.0723,134.28,415.56,209.4838
